exp,neg_pos_ratio,seed,best_dev_micro_f1,corresponding_test_micro_f1,last_seen_test_micro_f1,log_path
grid_negpos_r-1_seed13_splitsentence_20260323_140809,-1.0,13,0.6866,0.6032,0.6349,/root/msy/ner/BERT-RE/experiments/grid_negpos_r-1_seed13_splitsentence_20260323_140809/train.log
grid_negpos_r-1_seed13_splitsentence_20260323_145848,-1.0,13,,,,/root/msy/ner/BERT-RE/experiments/grid_negpos_r-1_seed13_splitsentence_20260323_145848/train.log
grid_negpos_r-1_seed21_splitsentence_20260323_140809,-1.0,21,0.6494,0.6133,0.6479,/root/msy/ner/BERT-RE/experiments/grid_negpos_r-1_seed21_splitsentence_20260323_140809/train.log
grid_negpos_r-1_seed42_splitsentence_20260323_140809,-1.0,42,0.6452,0.7436,0.7654,/root/msy/ner/BERT-RE/experiments/grid_negpos_r-1_seed42_splitsentence_20260323_140809/train.log
grid_negpos_r-1_seed87_splitsentence_20260323_140809,-1.0,87,0.5806,0.4324,0.5231,/root/msy/ner/BERT-RE/experiments/grid_negpos_r-1_seed87_splitsentence_20260323_140809/train.log
grid_negpos_r-1_seed123_splitsentence_20260323_140809,-1.0,123,0.5934,0.5758,0.5758,/root/msy/ner/BERT-RE/experiments/grid_negpos_r-1_seed123_splitsentence_20260323_140809/train.log
grid_negpos_r1_seed13_splitsentence_20260323_140809,1.0,13,0.4912,0.4694,0.4074,/root/msy/ner/BERT-RE/experiments/grid_negpos_r1_seed13_splitsentence_20260323_140809/train.log
grid_negpos_r1_seed21_splitsentence_20260323_140809,1.0,21,0.4272,0.419,0.2618,/root/msy/ner/BERT-RE/experiments/grid_negpos_r1_seed21_splitsentence_20260323_140809/train.log
grid_negpos_r1_seed42_splitsentence_20260323_140809,1.0,42,0.4146,0.6506,0.4658,/root/msy/ner/BERT-RE/experiments/grid_negpos_r1_seed42_splitsentence_20260323_140809/train.log
grid_negpos_r1_seed87_splitsentence_20260323_140809,1.0,87,0.3514,0.2192,0.271,/root/msy/ner/BERT-RE/experiments/grid_negpos_r1_seed87_splitsentence_20260323_140809/train.log
grid_negpos_r1_seed123_splitsentence_20260323_140809,1.0,123,0.4576,0.3853,0.3383,/root/msy/ner/BERT-RE/experiments/grid_negpos_r1_seed123_splitsentence_20260323_140809/train.log
grid_negpos_r2_seed13_splitsentence_20260323_140809,2.0,13,0.6067,0.4828,0.4632,/root/msy/ner/BERT-RE/experiments/grid_negpos_r2_seed13_splitsentence_20260323_140809/train.log
grid_negpos_r2_seed21_splitsentence_20260323_140809,2.0,21,0.4828,0.4835,0.3704,/root/msy/ner/BERT-RE/experiments/grid_negpos_r2_seed21_splitsentence_20260323_140809/train.log
grid_negpos_r2_seed42_splitsentence_20260323_140809,2.0,42,0.4938,0.6667,0.5397,/root/msy/ner/BERT-RE/experiments/grid_negpos_r2_seed42_splitsentence_20260323_140809/train.log
grid_negpos_r2_seed87_splitsentence_20260323_140809,2.0,87,0.4655,0.3261,0.3269,/root/msy/ner/BERT-RE/experiments/grid_negpos_r2_seed87_splitsentence_20260323_140809/train.log
grid_negpos_r2_seed123_splitsentence_20260323_140809,2.0,123,0.5143,0.4468,0.3664,/root/msy/ner/BERT-RE/experiments/grid_negpos_r2_seed123_splitsentence_20260323_140809/train.log
grid_negpos_r3_seed42_splitsentence_20260320_002725,3.0,42,,,,/root/msy/ner/BERT-RE/experiments/grid_negpos_r3_seed42_splitsentence_20260320_002725/train.log
grid_negpos_r4_seed13_splitsentence_20260323_140809,4.0,13,0.7123,0.56,0.56,/root/msy/ner/BERT-RE/experiments/grid_negpos_r4_seed13_splitsentence_20260323_140809/train.log
grid_negpos_r4_seed21_splitsentence_20260323_140809,4.0,21,0.5517,0.5227,0.5227,/root/msy/ner/BERT-RE/experiments/grid_negpos_r4_seed21_splitsentence_20260323_140809/train.log
grid_negpos_r4_seed42_splitsentence_20260323_140809,4.0,42,,,0.725,/root/msy/ner/BERT-RE/experiments/grid_negpos_r4_seed42_splitsentence_20260323_140809/train.log
